KH,120423,PH,M,2008-11-25T07:00:00+07:00,5.2,mm    , O
KH,120423,PH,M,2008-11-26T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-27T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-28T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-29T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-11-30T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-01T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-02T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-03T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-04T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-05T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-06T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-07T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-08T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-09T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-10T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-11T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-12T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-13T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-14T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-15T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-16T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-17T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-18T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-19T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-20T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-21T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-22T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-23T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-24T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-25T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-26T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-27T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-28T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-29T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-30T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2008-12-31T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-01T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-02T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-03T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-04T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-05T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-06T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-07T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-08T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-09T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-10T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-11T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-12T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-13T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-14T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-15T07:00:00+07:00,0,mm    , O
KH,120423,PH,M,2009-01-16T07:00:00+07:00,0,mm    , O
